unmon_N_in_packets,unmon_N_out_packets,unmon_in_first_thirty,unmon_out_first_thirty,unmon_out_fraction,unmon_in_fraction,unmon_out_std,unmon_in_std,unmon_out_mean,unmon_in_mean,unmon_N_packets,unmon_time_fraction,unmon_sum_N,unmon_incoming_packets_size,unmon_outgoing_packets_size,unmon_total_packets_size,y
5595,501,20,10,0.0821850394,0.917814961,1743.617162,1892.520705,3081.37462,2681.367265,6096,224.4477172,12192,-2864640,256512,-2608128,-1
3011,224,20,10,0.0692426584,0.930757342,934.1347838,908.2793584,1632.413816,1424.25,3235,89.7862892,6470,-1541632,114688,-1426944,-1
71,23,19,11,0.244680851,0.755319149,27.76905495,17.04691625,52.67605634,31.52173913,94,22.38095238,188,-36352,11776,-24576,-1
4848,213,18,12,0.0420865442,0.957913456,1444.761805,1634.504453,2562.476279,1814.58216,5061,605.3827751,10122,-2482176,109056,-2373120,-1
9411,545,20,10,0.0547408598,0.94525914,2849.628914,3071.441664,5041.198279,3895.833028,9956,1036.004162,19912,-4818432,279040,-4539392,-1
2909,231,21,9,0.073566879,0.926433121,891.5819367,1018.704303,1597.009625,1236.662338,3140,107.4238796,6280,-1489408,118272,-1371136,-1
136,30,18,12,0.180722892,0.819277108,44.84594871,55.08986598,88.19852941,62.2,166,30.74074074,332,-69632,15360,-54272,-1
362,79,19,11,0.179138322,0.820861678,122.3885431,133.9565274,233.3287293,164.5063291,441,19.65240642,882,-185344,40448,-144896,-1
280,68,18,12,0.195402299,0.804597701,94.90617171,119.0329365,170.2,192.2058824,348,12.7988231,696,-143360,34816,-108544,-1
418,68,24,6,0.139917695,0.860082305,141.010792,135.8149589,243.3588517,244.3676471,486,35.14099783,972,-214016,34816,-179200,-1
4086,270,16,14,0.0619834711,0.938016529,1245.246459,1387.729603,2200.516887,1845.311111,4356,87.76949426,8712,-2092032,138240,-1953792,-1
1020,90,17,13,0.0810810811,0.918918919,315.0319871,366.2822591,562.7676471,473.1333333,1110,130.8962264,2220,-522240,46080,-476160,-1
7474,485,19,11,0.0609373037,0.939062696,2269.86171,2601.955,3937.416644,4636.22268,7959,193.1796117,15918,-3826688,248320,-3578368,-1
6806,297,20,10,0.0418133183,0.958186682,2051.741423,2009.257298,3561.236703,3340.333333,7103,304.7190047,14206,-3484672,152064,-3332608,-1
2387,285,16,14,0.106661677,0.893338323,758.5567113,860.9100651,1351.470046,1211.119298,2672,70.98831031,5344,-1222144,145920,-1076224,-1
8479,464,22,8,0.0518841552,0.948115845,2571.869341,2744.391514,4484.092228,4251.030172,8943,220.2166954,17886,-4341248,237568,-4103680,-1
9536,438,21,9,0.0439141769,0.956085823,2865.69605,3115.051295,5011.318792,4468.924658,9974,652.7486911,19948,-4882432,224256,-4658176,-1
8537,1308,21,9,0.132859319,0.867140681,2871.298918,2473.207609,4790.07813,5790.54893,9845,424.9028917,19690,-4370944,669696,-3701248,-1
2799,312,22,8,0.100289296,0.899710704,878.7881982,1055.372969,1555.266881,1562.576923,3111,80.20108275,6222,-1433088,159744,-1273344,-1
9347,605,20,10,0.0607918006,0.939208199,2850.996291,2850.599314,5066.62266,3584.142149,9952,646.6536712,19904,-4785664,309760,-4475904,-1
36,21,19,11,0.368421053,0.631578947,15.32132682,18.07730941,27.91666667,30.85714286,57,1.046639736,114,-18432,10752,-7680,-1
2939,508,16,14,0.147374529,0.852625471,977.2492351,1091.979054,1729.050357,1694.781496,3447,121.0323034,6894,-1504768,260096,-1244672,-1
2440,144,20,10,0.0557275542,0.944272446,734.3739397,797.076176,1318.85,846.0138889,2584,78.70849832,5168,-1249280,73728,-1175552,-1
8581,883,16,14,0.0933009298,0.90669907,2729.639291,2743.889382,4708.210815,4968.542469,9464,203.9215686,18928,-4393472,452096,-3941376,-1
8650,1198,20,10,0.121649066,0.878350934,2795.697976,3135.038958,4870.346821,5315.505843,9848,411.5336398,19696,-4428800,613376,-3815424,-1
340,42,21,9,0.109947644,0.890052356,107.4591328,125.7641676,195.7088235,157.4285714,382,13.53170386,764,-174080,21504,-152576,-1
6643,510,20,10,0.0712987558,0.928701244,2036.174709,2403.343385,3566.070751,3719.358824,7153,161.5037254,14306,-3401216,261120,-3140096,-1
7403,412,19,11,0.0527191299,0.94728087,2226.42928,2671.50416,3939.30258,3345.541262,7815,477.1062271,15630,-3790336,210944,-3579392,-1
3933,378,21,9,0.0876826722,0.912317328,1255.625014,1114.469174,2144.126112,2279.544974,4311,281.5806662,8622,-2013696,193536,-1820160,-1
4609,213,22,8,0.0441725425,0.955827457,1377.75538,1647.065815,2424.120851,2138.403756,4822,377.0132916,9644,-2359808,109056,-2250752,-1
9330,620,21,9,0.0623115578,0.937688442,2848.988515,3075.998802,5032.946731,4111.019355,9950,555.2455357,19900,-4776960,317440,-4459520,-1
1069,145,19,11,0.119439868,0.880560132,344.6577706,384.5398557,598.8334892,671.3931034,1214,122.7502528,2428,-547328,74240,-473088,-1
9604,372,24,6,0.0372894948,0.962710505,2875.03951,2955.346423,5008.249063,4478.634409,9976,487.5855327,19952,-4917248,190464,-4726784,-1
3420,443,22,8,0.114677712,0.885322288,1091.508344,1266.181574,1906.687719,2127.413093,3863,254.9834983,7726,-1751040,226816,-1524224,-1
9600,389,19,11,0.0389428371,0.961057163,2857.183575,3259.266458,5042.524688,3822.154242,9989,1300.651042,19978,-4915200,199168,-4716032,-1
2190,319,17,13,0.127142288,0.872857712,718.3916,763.0981085,1251.531507,1278.811912,2509,104.3243243,5018,-1121280,163328,-957952,-1
9537,440,20,10,0.0441014333,0.955898567,2864.19443,3026.301743,5036.702527,3955.047727,9977,483.8506305,19954,-4882944,225280,-4657664,-1
7315,256,16,14,0.0338132347,0.966186765,2176.221019,2397.593699,3801.077239,3355.179688,7571,1045.718232,15142,-3745280,131072,-3614208,-1
2880,178,22,8,0.0582079791,0.941792021,873.2731523,1024.104039,1530.497917,1513.353933,3058,283.9368617,6116,-1474560,91136,-1383424,-1
4066,309,21,9,0.0706285714,0.929371429,1246.043494,1256.916449,2243.482046,1457.935275,4375,275.851198,8750,-2081792,158208,-1923584,-1
9563,421,21,9,0.0421674679,0.957832532,2856.578983,3188.130826,5044.801318,3804.477435,9984,1013.604061,19968,-4896256,215552,-4680704,-1
6616,871,19,11,0.116334981,0.883665019,2077.347058,2546.776811,3627.346584,4630.083812,7487,213.1833713,14974,-3387392,445952,-2941440,-1
1593,95,25,5,0.0562796209,0.943720379,480.3700359,527.4231229,859.9855618,584.8315789,1688,134.2879873,3376,-815616,48640,-766976,-1
69,10,21,9,0.126582278,0.873417722,21.69014771,20.65066585,42.82608696,20.5,79,10.92669433,158,-35328,5120,-30208,-1
4161,252,19,11,0.0571040109,0.942895989,1261.917961,1336.351619,2241.276857,1641.02381,4413,147.1490497,8826,-2130432,129024,-2001408,-1
3404,352,21,9,0.0937167199,0.90628328,1076.616439,1082.51027,1838.681845,2263.559659,3756,263.0252101,7512,-1742848,180224,-1562624,-1
9584,401,19,11,0.0401602404,0.95983976,2855.060848,3226.607846,5045.642216,3734.837905,9985,534.8152116,19970,-4907008,205312,-4701696,-1
1798,251,22,8,0.12249878,0.87750122,580.1014333,630.6367032,1053.586763,820.2231076,2049,144.397463,4098,-920576,128512,-792064,-1
5135,196,20,10,0.0367660852,0.963233915,1530.145514,1703.169243,2681.608763,2257.066327,5331,726.2942779,10662,-2629120,100352,-2528768,-1
4113,307,27,3,0.0694570136,0.930542986,1255.814593,1439.930896,2175.417457,2680.514658,4420,200.7266122,8840,-2105856,157184,-1948672,-1
7606,463,21,9,0.0573800967,0.942619903,2318.528125,2385.450312,4079.200237,3308.894168,8069,759.0780809,16138,-3894272,237056,-3657216,-1
8914,980,19,11,0.0990499293,0.900950071,2851.585547,2723.91107,4844.461185,5884.732653,9894,336.8743616,19788,-4563968,501760,-4062208,-1
5175,259,27,3,0.0476628635,0.952337137,1555.901623,1793.549423,2707.678841,2913.733591,5434,251.3413506,10868,-2649600,132608,-2516992,-1
3766,346,19,11,0.0841439689,0.915856031,1174.345738,1308.429333,2069.870685,1910.968208,4112,149.7450838,8224,-1928192,177152,-1751040,-1
60,26,17,13,0.302325581,0.697674419,23.04567325,27.50287774,46.21666667,37.23076923,86,9.783845279,172,-30720,13312,-17408,-1
1678,106,19,11,0.0594170404,0.94058296,507.5711374,616.9548002,896.7371871,825.4245283,1784,173.0358875,3568,-859136,54272,-804864,-1
5622,502,24,6,0.0819725669,0.918027433,1752.160273,1852.127147,3014.614372,3598.780876,6124,201.4473684,12248,-2878464,257024,-2621440,-1
298,63,16,14,0.174515235,0.825484765,99.82541272,110.7550758,191.2114094,132.6984127,361,25.63920455,722,-152576,32256,-120320,-1
9431,530,16,14,0.0532075093,0.946792491,2862.9822,2931.966243,5034.284699,4032.833962,9961,1093.413831,19922,-4828672,271360,-4557312,-1
9433,521,22,8,0.0523407675,0.947659232,2856.117333,3149.134018,4997.628856,4613.055662,9954,872.392638,19908,-4829696,266752,-4562944,-1
4739,373,20,10,0.0729655712,0.927034429,1445.046802,1789.668664,2581.92509,2233.47185,5112,128.2167043,10224,-2426368,190976,-2235392,-1
353,37,27,3,0.0948717949,0.905128205,114.1400827,92.26778445,192.6912181,222.2972973,390,36.48269411,780,-180736,18944,-161792,-1
6394,308,22,8,0.0459564309,0.954043569,1932.701231,1915.579284,3374.267438,2878.853896,6702,320.2102246,13404,-3273728,157696,-3116032,-1
100,29,19,11,0.224806202,0.775193798,37.70169625,25.30841861,71.39,42.96551724,129,30.14018692,258,-51200,14848,-36352,-1
1404,84,20,10,0.0564516129,0.943548387,427.4445568,416.5370116,756.2884615,547.4642857,1488,66.756393,2976,-718848,43008,-675840,-1
9522,445,21,9,0.0446473362,0.955352664,2862.592218,3045.216986,5024.914199,4108.52809,9967,1106.215316,19934,-4875264,227840,-4647424,-1
4786,354,19,11,0.0688715953,0.931128405,1477.574146,1499.545606,2602.567697,2136.951977,5140,229.2595897,10280,-2450432,181248,-2269184,-1
9601,383,17,13,0.0383613782,0.961638622,2869.694465,3066.395497,5025.166233,4173.626632,9984,211.2121853,19968,-4915712,196096,-4719616,-1
1766,75,21,9,0.040738729,0.959261271,527.5215709,593.7840481,927.9399773,757.5866667,1841,236.3286264,3682,-904192,38400,-865792,-1
3132,293,19,11,0.0855474453,0.914452555,987.4796491,994.444197,1702.164112,1828.829352,3425,162.4762808,6850,-1603584,150016,-1453568,-1
7898,295,21,9,0.0360063469,0.963993653,2355.979276,2577.057574,4109.013928,3775.352542,8193,302.659771,16386,-4043776,151040,-3892736,-1
678,102,20,10,0.130769231,0.869230769,211.5173528,289.3289863,379.0988201,466.2843137,780,21.10960758,1560,-347136,52224,-294912,-1
6136,501,19,11,0.0754859123,0.924514088,1911.024668,1972.762116,3311.444915,3411.530938,6637,249.4175122,13274,-3141632,256512,-2885120,-1
328,45,17,13,0.120643432,0.879356568,101.3353899,141.0430177,191.7439024,152.4222222,373,45.71078431,746,-167936,23040,-144896,-1
6959,787,21,9,0.101600826,0.898399174,2200.966056,2457.807751,3811.291709,4423.573062,7746,211.4660115,15492,-3563008,402944,-3160064,-1
2532,265,19,11,0.094744369,0.905255631,802.6749179,828.6809099,1418.484597,1212.830189,2797,146.7471144,5594,-1296384,135680,-1160704,-1
1428,182,21,9,0.113043478,0.886956522,460.9474808,493.6314942,804.442577,813.7967033,1610,93.22524609,3220,-731136,93184,-637952,-1
449,98,20,10,0.179159049,0.820840951,151.6546078,167.0294387,289.1893096,204.4081633,547,45.73578595,1094,-229888,50176,-179712,-1
911,111,20,10,0.108610568,0.891389432,283.5200234,359.7936375,524.2173436,407.1261261,1022,77.60060744,2044,-466432,56832,-409600,-1
7674,463,20,10,0.0569005776,0.943099422,2306.000286,2894.81741,4108.360698,3416.615551,8137,224.8411163,16274,-3929088,237056,-3692032,-1
2649,319,16,14,0.107479784,0.892520216,829.5733815,1054.63434,1490.661004,1433.338558,2968,150.278481,5936,-1356288,163328,-1192960,-1
3133,166,22,8,0.0503182783,0.949681722,944.2967131,1059.437073,1663.896585,1387.722892,3299,126.4953988,6598,-1604096,84992,-1519104,-1
6901,822,21,9,0.106435323,0.893564677,2207.138477,2349.001568,3802.083321,4365.023114,7723,372.0134875,15446,-3533312,420864,-3112448,-1
9589,391,21,9,0.0391783567,0.960821643,2870.651531,3066.32715,5014.288977,4407.092072,9980,939.7363465,19960,-4909568,200192,-4709376,-1
58,29,21,9,0.333333333,0.666666667,25.09348159,25.06694959,44.84482759,42.31034483,87,20.3271028,174,-29696,14848,-14848,-1
2995,138,18,12,0.0440472391,0.955952761,892.5290164,1020.024499,1589.126544,1086.789855,3133,137.5933245,6266,-1533440,70656,-1462784,-1
114,11,21,9,0.088,0.912,35.02884534,33.22873396,65.87719298,33.18181818,125,36.44314869,250,-58368,5632,-52736,-1
8113,381,20,10,0.0448551919,0.955144808,2439.628729,2560.270076,4287.158758,3403.007874,8494,163.5348479,16988,-4153856,195072,-3958784,-1
6012,615,21,9,0.0928021729,0.907197827,1839.526447,2271.810889,3207.456088,4355.531707,6627,173.3908948,13254,-3078144,314880,-2763264,-1
1363,86,27,3,0.0593512767,0.940648723,415.3525622,433.9657961,734.7630227,570.2674419,1449,154.313099,2898,-697856,44032,-653824,-1
1847,138,20,10,0.0695214106,0.930478589,565.3787135,651.0270552,1003.429886,853.4057971,1985,46.64003759,3970,-945664,70656,-875008,-1
3697,816,20,10,0.18081099,0.81918901,1233.097825,1491.234182,2152.391398,2730.943627,4513,109.3795444,9026,-1892864,417792,-1475072,-1
6415,809,21,9,0.111987818,0.888012182,2060.078269,2275.544733,3606.26251,3661.960445,7224,158.5949506,14448,-3284480,414208,-2870272,-1
2985,326,19,11,0.0984596799,0.90154032,941.2855403,1063.649337,1675.230821,1479.91411,3311,125.8456861,6622,-1528320,166912,-1361408,-1
4997,261,25,5,0.0496386459,0.950361354,1513.112812,1604.931641,2626.622173,2684.597701,5258,235.6790677,10516,-2558464,133632,-2424832,-1
9220,751,19,11,0.0753184234,0.924681577,2871.660233,2929.725822,5018.871475,4582.438083,9971,1229.46979,19942,-4720640,384512,-4336128,-1
840,123,21,9,0.127725857,0.872274143,275.9034233,289.6343733,477.0678571,515.6829268,963,81.54106689,1926,-430080,62976,-367104,-1
137,23,18,12,0.14375,0.85625,43.63043911,37.70530442,87.58394161,38.30434783,160,40,320,-70144,11776,-58368,-1
5172,1755,17,13,0.253356431,0.746643569,1681.971074,1902.659799,2890.53577,5154.003989,6927,373.8262277,13854,-2648064,898560,-1749504,-1
3309,230,16,14,0.0649901102,0.93500989,994.7926737,1325.344716,1787.197341,1522.582609,3539,322.6071103,7078,-1694208,117760,-1576448,-1
9505,464,21,9,0.0465442873,0.953455713,2883.780496,2715.962122,5006.302788,4548.614224,9969,254.1167474,19938,-4866560,237568,-4628992,-1
68,12,21,9,0.15,0.85,22.19103516,25.11252454,42.38235294,29.83333333,80,5.983545251,160,-34816,6144,-28672,-1
3236,343,21,9,0.0958368259,0.904163174,1021.649875,1130.234262,1801.624536,1680.329446,3579,90.08306066,7158,-1656832,175616,-1481216,-1
6963,1047,20,10,0.13071161,0.86928839,2267.414169,2541.414913,3934.760448,4475.948424,8010,178.0791463,16020,-3565056,536064,-3028992,-1
8012,749,22,8,0.0854925237,0.914507476,2522.704509,2594.507048,4389.699451,4287.94259,8761,205.1276048,17522,-4102144,383488,-3718656,-1
174,25,21,9,0.125628141,0.874371859,56.6774654,41.61814989,106.2701149,56.36,199,37.40601504,398,-89088,12800,-76288,-1
127,34,22,8,0.211180124,0.788819876,45.77219062,45.89023311,85.09448819,65.70588235,161,8.582089552,322,-65024,17408,-47616,-1
512,60,16,14,0.104895105,0.895104895,157.8223871,189.6470662,298.3457031,185.4166667,572,94.07894737,1144,-262144,30720,-231424,-1
4131,889,19,11,0.177091633,0.822908367,1316.503784,1415.136226,2248.433067,3728.271091,5020,94.94987706,10040,-2115072,455168,-1659904,-1
9232,696,20,10,0.0701047542,0.929895246,2865.782226,2802.396653,5008.981369,4374.482759,9928,788.5623511,19856,-4726784,356352,-4370432,-1
200,35,18,12,0.14893617,0.85106383,67.69121066,44.08711228,126.5,69.42857143,235,14.56912585,470,-102400,17920,-84480,-1
5147,304,22,8,0.0557695836,0.944230416,1562.840276,1678.78749,2753.37245,2262.559211,5451,131.2861272,10902,-2635264,155648,-2479616,-1
1375,144,27,3,0.09479921,0.90520079,439.435753,335.6330643,786.6923636,505.125,1519,53.20490368,3038,-704000,73728,-630272,-1
2088,148,27,3,0.0661896243,0.933810376,635.2490393,748.5945122,1132.379789,922.6824324,2236,45.08973583,4472,-1069056,75776,-993280,-1
73,27,18,12,0.27,0.73,27.77155961,31.29118959,51.97260274,46.51851852,100,1.853568119,200,-37376,13824,-23552,-1
1109,123,19,11,0.0998376623,0.900162338,345.4670881,373.0108018,640.4274121,400.7642276,1232,55.0737595,2464,-567808,62976,-504832,-1
1378,101,20,10,0.0682893847,0.931710615,415.9098163,545.9597667,747.4796807,637.950495,1479,75.07614213,2958,-705536,51712,-653824,-1
9429,535,27,3,0.0536932959,0.946306704,2849.998591,3257.885354,5013.7233,4432.211215,9964,799.0376905,19928,-4827648,273920,-4553728,-1
5816,296,27,3,0.0484293194,0.951570681,1755.096226,1916.614549,3070.699278,2777.503378,6112,494.0986257,12224,-2977792,151552,-2826240,-1
1575,308,22,8,0.163568773,0.836431227,535.4903391,569.5957951,919.6285714,1056.399351,1883,76.29659643,3766,-806400,157696,-648704,-1
282,81,20,10,0.223140496,0.776859504,97.36542981,126.2599359,177.8900709,196.308642,363,15.63307494,726,-144384,41472,-102912,-1
3807,220,21,9,0.0546312391,0.945368761,1151.398112,1336.835923,2008.794852,2104.072727,4027,331.1677632,8054,-1949184,112640,-1836544,-1
2979,240,22,8,0.0745573159,0.925442684,917.2021482,900.9520689,1654.372944,1059.220833,3219,61.13960114,6438,-1525248,122880,-1402368,-1
9428,496,19,11,0.0499798468,0.950020153,2865.752205,2751.439301,4999.982499,4250.030242,9924,472.3465017,19848,-4827136,253952,-4573184,-1
2797,182,20,10,0.061094327,0.938905673,851.9979707,878.7592759,1516.51734,1082.478022,2979,216.0261059,5958,-1432064,93184,-1338880,-1
428,60,19,11,0.12295082,0.87704918,133.2142207,185.1561323,247.5420561,222.8,488,12.23364252,976,-219136,30720,-188416,-1
1952,117,20,10,0.0565490575,0.943450942,586.1098192,725.8950914,1048.033811,817.5470085,2069,60.18033741,4138,-999424,59904,-939520,-1
3889,525,22,8,0.118939737,0.881060263,1272.359673,1272.17055,2182.112625,2395.56,4414,143.4980494,8828,-1991168,268800,-1722368,-1
4391,240,21,9,0.0518246599,0.94817534,1316.846013,1639.457064,2301.83785,2575.108333,4631,99.42035208,9262,-2248192,122880,-2125312,-1
4616,404,22,8,0.0804780876,0.919521912,1440.377708,1473.948061,2471.395581,2957.29703,5020,205.8220582,10040,-2363392,206848,-2156544,-1
3962,237,21,9,0.05644201,0.94355799,1193.909941,1475.372572,2090.610045,2256.974684,4199,96.39577594,8398,-2028544,121344,-1907200,-1
372,85,19,11,0.185995624,0.814004376,126.8126421,151.0451112,233.0053763,211.4705882,457,23.86422977,914,-190464,43520,-146944,-1
9477,481,26,4,0.0483028721,0.951697128,2873.524368,2881.10041,4994.155957,4690.738046,9958,1580.634921,19916,-4852224,246272,-4605952,-1
3277,648,21,9,0.165095541,0.834904459,1103.745076,1231.905819,1906.52487,2248.600309,3925,101.2380707,7850,-1677824,331776,-1346048,-1
2663,313,18,12,0.105174731,0.894825269,855.4920315,825.8496729,1451.858055,1800.249201,2976,235.07109,5952,-1363456,160256,-1203200,-1
9512,453,25,5,0.0454591069,0.954540893,2857.522958,3046.912005,5035.93156,3871.554084,9965,466.5262172,19930,-4870144,231936,-4638208,-1
2082,118,19,11,0.0536363636,0.946363636,622.1753276,780.3941125,1116.162824,824.1440678,2200,208.3333333,4400,-1065984,60416,-1005568,-1
1369,135,22,8,0.0897606383,0.910239362,431.2733674,442.9157741,765.0255661,625.4814815,1504,232.8173375,3008,-700928,69120,-631808,-1
4725,653,20,10,0.121420602,0.878579398,1550.46222,1560.975554,2707.464974,2559.508423,5378,107.1101374,10756,-2419200,334336,-2084864,-1
5776,451,21,9,0.0724265296,0.92757347,1770.591666,2112.643264,3116.757791,3078.68071,6227,172.159248,12454,-2957312,230912,-2726400,-1
353,88,18,12,0.199546485,0.800453515,124.7843819,135.2213439,216.1586402,240.4204545,441,15.7275321,882,-180736,45056,-135680,-1
9430,521,21,9,0.0523565471,0.947643453,2832.283588,3523.153942,4978.879639,4923.879079,9951,829.941618,19902,-4828160,266752,-4561408,-1
4454,551,19,11,0.11008991,0.88991009,1437.570235,1490.126661,2480.882353,2681.787659,5005,238.2198953,10010,-2280448,282112,-1998336,-1
1777,110,16,14,0.0582935877,0.941706412,536.4993057,575.9592777,963.8109173,623.9636364,1887,118.6792453,3774,-909824,56320,-853504,-1
3207,365,16,14,0.102183651,0.897816349,1020.355744,1116.746372,1775.362332,1884.358904,3572,120.9207854,7144,-1641984,186880,-1455104,-1
9554,421,17,13,0.0422055138,0.957794486,2859.150179,3183.828068,5026.803956,4107.39905,9975,1166.666667,19950,-4891648,215552,-4676096,-1
2270,150,17,13,0.0619834711,0.938016529,685.2289529,791.1083582,1234.622026,845.4533333,2420,133.7755666,4840,-1162240,76800,-1085440,-1
7133,650,20,10,0.083515354,0.916484646,2221.733503,2474.761322,3925.857003,3520.458462,7783,353.9336062,15566,-3652096,332800,-3319296,-1
2753,202,17,13,0.068358714,0.931641286,827.6664347,1138.582172,1485.881947,1370.579208,2955,435.840708,5910,-1409536,103424,-1306112,-1
9324,622,25,5,0.0625377036,0.937462296,2856.482747,3066.670391,4953.122265,5278.969453,9946,853.0017153,19892,-4773888,318464,-4455424,-1
9357,594,19,11,0.0596924932,0.940307507,2848.36498,3168.358555,5014.834669,4364.255892,9951,1023.765432,19902,-4790784,304128,-4486656,-1
97,12,26,4,0.110091743,0.889908257,30.76348428,35.95212867,55.82474227,48.33333333,109,11.97802198,218,-49664,6144,-43520,-1
34,22,17,13,0.392857143,0.607142857,16.20841765,15.9912166,29.41176471,27.09090909,56,13.08411215,112,-17408,11264,-6144,-1
2386,240,20,10,0.0913937548,0.908606245,748.8773056,765.8738432,1347.49036,975.5791667,2626,274.6861925,5252,-1221632,122880,-1098752,-1
5792,385,22,8,0.0623279909,0.937672009,1763.371212,1775.47494,3155.965124,2081.566234,6177,806.3968668,12354,-2965504,197120,-2768384,-1
3408,241,22,8,0.0660454919,0.933954508,1041.575635,1205.109913,1819.331279,1905.161826,3649,149.6718622,7298,-1744896,123392,-1621504,-1
350,27,26,4,0.0716180371,0.928381963,107.5530216,109.4989837,193.3571429,132.5185185,377,35.46566322,754,-179200,13824,-165376,-1
8044,626,20,10,0.0722029988,0.927797001,2469.034077,2714.334097,4412.476877,3346.359425,8670,243.0613961,17340,-4118528,320512,-3798016,-1
1453,148,20,10,0.0924422236,0.907557776,455.4997142,521.2796043,796.7136958,843.0810811,1601,117.1177762,3202,-743936,75776,-668160,-1
734,206,18,12,0.219148936,0.780851064,268.9106118,279.8477034,469.3106267,474.7378641,940,18.28082458,1880,-375808,105472,-270336,-1
2701,218,25,5,0.0746831107,0.925316889,834.5198977,780.978131,1500.260644,961.1743119,2919,149.6923077,5838,-1382912,111616,-1271296,-1
8297,668,21,9,0.0745119911,0.925488009,2553.208233,2969.388313,4507.526696,4178.362275,8965,334.889802,17930,-4248064,342016,-3906048,-1
9458,503,20,10,0.0504969381,0.949503062,2851.578968,3042.438595,5046.289173,3753.355865,9961,1298.696219,19922,-4842496,257536,-4584960,-1
1750,307,21,9,0.149246475,0.850753525,579.5306169,628.6911743,991.8114286,1240.986971,2057,39.4666155,4114,-896000,157184,-738816,-1
5460,252,20,10,0.0441176471,0.955882353,1634.778047,1772.058578,2890.99359,2109.138889,5712,228.2061526,11424,-2795520,129024,-2666496,-1
