N_in_packets,N_out_packets,in_first_thirty,out_first_thirty,out_fraction,in_fraction,out_std,in_std,out_mean,in_mean,N_packets,time_fraction,sum_N,incoming_packets_size,outgoing_packets_size,total_packets_size,y
4583,447,22,8,0.0888667992,0.911133201,1447.785153,1486.688757,2500.914248,2665.044743,5030,479.047619,10060,-2346496,228864,-2117632,1
4794,489,22,8,0.0925610449,0.907438955,1523.381993,1529.804957,2623.562161,2822.758691,5283,101.6352443,10566,-2454528,250368,-2204160,1
4518,460,21,9,0.092406589,0.907593411,1435.321731,1446.886051,2475.918105,2622.897826,4978,436.2839614,9956,-2313216,235520,-2077696,1
4241,409,22,8,0.0879569892,0.912043011,1350.474987,1253.795231,2320.708559,2375.183374,4650,345.7249071,9300,-2171392,209408,-1961984,1
1177,91,22,8,0.0717665615,0.928233438,363.7873383,378.2296772,626.2752761,740.8791209,1268,20.00315507,2536,-602624,46592,-556032,1
2077,153,22,8,0.0686098655,0.931390135,626.5146642,744.1356059,1143.740491,732.130719,2230,227.3190622,4460,-1063424,78336,-985088,1
2083,145,22,8,0.0650807899,0.93491921,629.5255891,736.993712,1137.80941,779.6482759,2228,198.9285714,4456,-1066496,74240,-992256,1
2077,150,22,8,0.0673551863,0.932644814,626.8288794,745.0567115,1140.130958,752.1733333,2227,197.2542073,4454,-1063424,76800,-986624,1
2081,138,22,8,0.0621901758,0.937809824,625.9047774,754.2281322,1132.389236,772.3768116,2219,187.4155405,4438,-1065472,70656,-994816,1
2076,157,21,9,0.0703090013,0.929690999,627.6140962,722.8533901,1147.846339,709.1210191,2233,126.4439411,4466,-1062912,80384,-982528,1
2115,146,22,8,0.0645731977,0.935426802,638.8010978,747.6505691,1154.789125,786.3835616,2261,227.693857,4522,-1082880,74752,-1008128,1
2096,149,22,8,0.0663697105,0.93363029,631.1331251,750.0658553,1150.670324,733.7583893,2245,203.1674208,4490,-1073152,76288,-996864,1
1009,119,21,9,0.105496454,0.894503546,311.9952103,309.5064619,596.814668,290.5042017,1128,19.76520063,2256,-516608,60928,-455680,1
2148,156,23,7,0.0677083333,0.932291667,653.9682257,761.9937923,1170.247207,908.1346154,2304,177.6407093,4608,-1099776,79872,-1019904,1
2100,153,21,9,0.0679094541,0.932090546,635.5116451,747.1498416,1152.094286,782.5686275,2253,206.8870523,4506,-1075200,78336,-996864,1
2031,137,22,8,0.0631918819,0.936808118,611.3053621,728.7476891,1107.796652,739.1313869,2168,185.1409052,4336,-1039872,70144,-969728,1
2205,198,22,8,0.0823970037,0.917602996,678.990879,816.9851708,1218.851247,1014.338384,2403,218.852459,4806,-1128960,101376,-1027584,1
2122,194,22,8,0.0837651123,0.916234888,656.780056,769.3320774,1172.625825,1003.989691,2316,164.2553191,4632,-1086464,99328,-987136,1
2101,156,22,8,0.0691182986,0.930881701,635.9588689,745.2569015,1155.734412,768.9423077,2257,201.1586453,4514,-1075712,79872,-995840,1
2081,148,22,8,0.0663974877,0.933602512,627.7304957,755.4926741,1139.233061,774.2635135,2229,211.6809117,4458,-1065472,75776,-989696,1
2177,189,22,8,0.0798816568,0.920118343,666.8935368,838.9262541,1193.074414,1073.216931,2366,179.9239544,4732,-1114624,96768,-1017856,1
2074,142,22,8,0.0640794224,0.935920578,625.9467505,739.6001459,1131.110415,778.2605634,2216,175.0394945,4432,-1061888,72704,-989184,1
2095,147,22,8,0.0655664585,0.934433541,633.0119664,737.6924216,1146.304057,768,2242,246.1031833,4484,-1072640,75264,-997376,1
2089,153,22,8,0.0682426405,0.93175736,628.8842876,728.5756081,1153.692197,681.9607843,2242,177.6545166,4484,-1069568,78336,-991232,1
2060,141,23,7,0.0640617901,0.93593821,622.2503332,715.1318126,1125.186893,747.6312057,2201,189.7413793,4402,-1054720,72192,-982528,1
5331,429,22,8,0.0744791667,0.925520833,1663.125608,1645.532605,2896.417558,2682.699301,5760,681.6568047,11520,-2729472,219648,-2509824,1
5238,419,21,9,0.074067527,0.925932473,1630.985637,1650.429367,2841.534555,2672.303103,5657,364.4974227,11314,-2681856,214528,-2467328,1
5209,454,21,9,0.0801695215,0.919830479,1629.519915,1688.961083,2842.705894,2709.165198,5663,583.814433,11326,-2667008,232448,-2434560,1
4999,406,22,8,0.0751156337,0.924884366,1561.836752,1538.145574,2710.456691,2611.187192,5405,413.5424637,10810,-2559488,207872,-2351616,1
5265,384,23,7,0.067976633,0.932023367,1622.728628,1735.996853,2828.390883,2778.507813,5649,484.0616967,11298,-2695680,196608,-2499072,1
6726,542,22,8,0.0745734728,0.925426527,2088.193163,2196.73178,3657.825751,3345.0369,7268,521.0035842,14536,-3443712,277504,-3166208,1
5162,409,23,7,0.0734159038,0.926584096,1602.516632,1678.181581,2788.045331,2760.185819,5571,537.7413127,11142,-2642944,209408,-2433536,1
5392,411,23,7,0.0708254351,0.929174565,1675.685782,1664.719188,2910.308791,2792.995134,5803,517.201426,11606,-2760704,210432,-2550272,1
3673,311,23,7,0.078062249,0.921937751,1135.78026,1296.624962,1979.007351,2151.85209,3984,320,7968,-1880576,159232,-1721344,1
3341,277,22,8,0.0765616363,0.923438364,1033.256093,1164.740717,1800.027537,1923.750903,3618,368.0569685,7236,-1710592,141824,-1568768,1
6971,551,21,9,0.0732517947,0.926748205,2160.307511,2300.348036,3775.138574,3588.950998,7522,501.1325783,15044,-3569152,282112,-3287040,1
5146,427,22,8,0.076619415,0.923380585,1610.535919,1583.369925,2796.181695,2676.346604,5573,318.2752713,11146,-2634752,218624,-2416128,1
6890,542,23,7,0.0729278794,0.927072121,2133.207237,2270.917266,3741.714369,3395.97048,7432,516.8289291,14864,-3527680,277504,-3250176,1
5217,423,22,8,0.075,0.925,1619.962501,1723.819865,2826.71037,2743.905437,5640,235.5889724,11280,-2671104,216576,-2454528,1
6980,560,22,8,0.074270557,0.925729443,2168.354448,2263.608045,3789.539112,3533.191071,7540,212.5740062,15080,-3573760,286720,-3287040,1
7191,550,22,8,0.0710502519,0.928949748,2226.006089,2332.676329,3888.352524,3644.123636,7741,400.2585315,15482,-3681792,281600,-3400192,1
6926,531,22,8,0.0712082607,0.928791739,2143.04964,2261.223974,3746.902397,3495.493409,7457,260.0976631,14914,-3546112,271872,-3274240,1
5120,403,22,8,0.0729675901,0.92703241,1593.835646,1600.766835,2763.609766,2741.548387,5523,479.8436142,11046,-2621440,206336,-2415104,1
5171,452,22,8,0.0803841366,0.919615863,1617.095202,1691.19777,2815.506865,2771.880531,5623,611.8607182,11246,-2647552,231424,-2416128,1
7330,562,22,8,0.0712113533,0.928788647,2263.141448,2429.772544,3977.839154,3537.752669,7892,364.1901246,15784,-3752960,287744,-3465216,1
9405,495,21,9,0.05,0.95,2825.459398,3228.772894,5007.712174,3863.468687,9900,722.6277372,19800,-4815360,253440,-4561920,1
9316,494,22,8,0.0503567788,0.949643221,2798.500894,3205.023077,4964.285208,3796.910931,9810,680.3051318,19620,-4769792,252928,-4516864,1
9348,492,22,8,0.05,0.95,2809.119297,3181.052416,4979.550171,3798.546748,9840,414.3157895,19680,-4786176,251904,-4534272,1
9315,483,22,8,0.0492957746,0.950704225,2798.741283,3180.893572,4952.643264,3874.594203,9798,780.0955414,19596,-4769280,247296,-4521984,1
9317,458,22,8,0.0468542199,0.95314578,2796.857006,3154.73009,4932.535151,3982.030568,9775,481.0531496,19550,-4770304,234496,-4535808,1
9311,502,22,8,0.051156629,0.948843371,2800.225606,3155.28842,4970.649662,3726.438247,9813,880.0896861,19626,-4767232,257024,-4510208,1
4016,371,22,8,0.0845680419,0.915431958,1248.352518,1154.059502,2271.243775,1357.851752,4387,77.16798593,8774,-2056192,189952,-1866240,1
9020,465,23,7,0.049024776,0.950975224,2718.881904,2891.107614,4797.405211,3687.655914,9485,174.9677181,18970,-4618240,238080,-4380160,1
9272,483,22,8,0.0495130702,0.95048693,2785.085929,3160.815533,4935.143119,3781.041408,9755,718.3357879,19510,-4747264,247296,-4499968,1
9416,488,24,6,0.049273021,0.950726979,2826.652608,3233.164522,5009.530905,3852.084016,9904,550.8342603,19808,-4820992,249856,-4571136,1
9269,500,22,8,0.0511823114,0.948817689,2783.218242,3122.24459,4959.901931,3496.468,9769,675.1209399,19538,-4745728,256000,-4489728,1
9382,482,22,8,0.048864558,0.951135442,2811.374228,3255.669352,4993.599872,3743.207469,9864,854.025974,19728,-4803584,246784,-4556800,1
2407,214,23,7,0.0816482259,0.918351774,746.8597674,681.6270666,1355.505609,810.4158879,2621,49.62135555,5242,-1232384,109568,-1122816,1
9301,484,21,9,0.0494634645,0.950536536,2796.584683,3265.665689,4923.010644,4316.28719,9785,177.3930384,19570,-4762112,247808,-4514304,1
9302,469,22,8,0.0479991813,0.952000819,2795.686554,3163.462093,4927.994195,4053.100213,9771,773.6342043,19542,-4762624,240128,-4522496,1
9321,488,23,7,0.0497502294,0.950249771,2797.611229,3233.678002,4961.311018,3829.436475,9809,837.6601196,19618,-4772352,249856,-4522496,1
9294,483,22,8,0.0494016569,0.950598343,2788.398875,3165.678355,4953.345277,3650.853002,9777,588.267148,19554,-4758528,247296,-4511232,1
9302,465,22,8,0.0476092966,0.952390703,2792.119078,3174.169822,4931.467641,3934.443011,9767,718.6902134,19534,-4762624,238080,-4524544,1
9356,485,22,8,0.0492836094,0.950716391,2812.054123,3202.610947,4970.370992,3968.597938,9841,829.7639123,19682,-4790272,248320,-4541952,1
9308,480,22,8,0.0490396404,0.95096036,2795.830958,3184.667061,4946.797164,3880.370833,9788,770.7086614,19576,-4765696,245760,-4519936,1
2146,353,22,8,0.141256503,0.858743497,728.2244525,674.6795314,1239.141659,1316.011331,2499,73.52162401,4998,-1098752,180736,-918016,1
1492,283,22,8,0.15943662,0.84056338,518.1033574,452.4624853,859.5127346,1038.187279,1775,46.97009791,3550,-763904,144896,-619008,1
2378,370,23,7,0.134643377,0.865356623,783.7787453,728.5081548,1310.607233,1785.140541,2748,48.26132771,5496,-1217536,189440,-1028096,1
654,101,22,8,0.133774834,0.866225166,213.0447208,242.7740151,371.1804281,422.1584158,755,33.79588183,1510,-334848,51712,-283136,1
1667,286,22,8,0.146441372,0.853558628,561.2988701,562.5478792,955.9256149,1099.835664,1953,55.95988539,3906,-853504,146432,-707072,1
1783,375,22,8,0.173772011,0.826227989,621.6089042,617.3693415,1056.136287,1190.586667,2158,60.29617212,4316,-912896,192000,-720896,1
1576,341,23,7,0.177882107,0.822117893,559.9591792,517.4626306,945.590736,1020.973607,1917,49.45820433,3834,-806912,174592,-632320,1
1629,349,21,9,0.176440849,0.823559151,580.058174,510.4635272,964.3020258,1107.114613,1978,59.72222222,3956,-834048,178688,-655360,1
2029,338,22,8,0.142796789,0.857203211,692.1317383,624.3786991,1174.158206,1243.079882,2367,70.82585278,4734,-1038848,173056,-865792,1
1742,363,22,8,0.172446556,0.827553444,609.9730596,576.0251053,1023.671068,1193.746556,2105,37.22369584,4210,-891904,185856,-706048,1
1551,335,22,8,0.177624602,0.822375398,548.8407194,511.2503457,921.3655706,1045.979104,1886,51.54413774,3772,-794112,171520,-622592,1
1553,309,22,8,0.165950591,0.834049409,533.2933288,529.0556868,899.1320026,1094.177994,1862,57.06405149,3724,-795136,158208,-636928,1
1724,325,21,9,0.158613958,0.841386042,597.0724296,537.5344055,997.2465197,1172.221538,2049,59.75503062,4098,-882688,166400,-716288,1
1571,317,21,9,0.167902542,0.832097458,549.2138481,494.5839647,912.7886696,1101.656151,1888,55.82495565,3776,-804352,162304,-642048,1
2071,376,22,8,0.15365754,0.84634246,715.8773314,649.0200617,1214.233221,1277.795213,2447,72.76241451,4894,-1060352,192512,-867840,1
1762,336,23,7,0.160152526,0.839847474,606.6277355,566.5608576,1014.753689,1231.71131,2098,62.49627644,4196,-902144,172032,-730112,1
1750,345,23,7,0.164677804,0.835322196,603.5857242,590.2440768,1019.711429,1191.492754,2095,62.79976019,4190,-896000,176640,-719360,1
1571,306,22,8,0.163026105,0.836973895,547.3843786,482.5295605,908.2527053,1096.856209,1877,55.38506934,3754,-804352,156672,-647680,1
637,54,22,8,0.0781476122,0.921852388,194.1058003,245.6902597,340.6310832,409.3333333,691,10.95260739,1382,-326144,27648,-298496,1
633,63,22,8,0.0905172414,0.909482759,193.2447722,248.4578923,339.4834123,439.0952381,696,9.787652932,1392,-324096,32256,-291840,1
9444,518,23,7,0.0519975908,0.948002409,2872.982147,2807.199405,5025.641042,4176.735521,9962,634.522293,19924,-4835328,265216,-4570112,1
9417,544,22,8,0.0546129907,0.945387009,2866.704552,3002.248456,5001.138261,4632.393382,9961,966.1493695,19922,-4821504,278528,-4542976,1
9439,525,22,8,0.0526896829,0.947310317,2871.430856,2835.164385,5029.212099,4142.660952,9964,1038.998957,19928,-4832768,268800,-4563968,1
9433,529,22,8,0.0531017868,0.946898213,2877.405399,2783.108862,5014.144281,4399.395085,9962,837.8469302,19924,-4829696,270848,-4558848,1
9418,544,21,9,0.0546075085,0.945392491,2873.36,2745.764681,5036.868656,4022.930147,9962,539.9457995,19924,-4822016,278528,-4543488,1
9436,527,22,8,0.0528957141,0.947104286,2871.102004,2876.848574,5020.69309,4289.195446,9963,1130.874007,19926,-4831232,269824,-4561408,1
9442,522,23,7,0.052388599,0.947611401,2870.27488,2907.284053,5018.744334,4326.908046,9964,694.3554007,19928,-4834304,267264,-4567040,1
9449,514,23,7,0.0515908863,0.948409114,2873.01417,2879.705034,5011.116203,4446.749027,9963,1079.414951,19926,-4837888,263168,-4574720,1
9417,546,22,8,0.0548027702,0.94519723,2873.285867,2830.355937,5023.306573,4269.575092,9963,764.6201074,19926,-4821504,279552,-4541952,1
9389,552,21,9,0.0555276129,0.944472387,2860.635827,2914.494403,5016.220258,4201.846014,9941,624.8271527,19882,-4807168,282624,-4524544,1
9435,528,22,8,0.0529960855,0.947003914,2865.716158,3035.768242,5000.72708,4647.359848,9963,931.1214953,19926,-4830720,270336,-4560384,1
9435,528,22,8,0.0529960855,0.947003914,2871.501037,2889.974289,5015.971171,4374.958333,9963,1393.426573,19926,-4830720,270336,-4560384,1
9436,527,21,9,0.0528957141,0.947104286,2865.777821,3036.622084,4999.933658,4660.895636,9963,1283.891753,19926,-4831232,269824,-4561408,1
9449,515,21,9,0.0516860699,0.94831393,2870.784356,2892.467308,5019.838501,4297.429126,9964,958.0769231,19928,-4837888,263680,-4574208,1
9428,535,22,8,0.0536986851,0.946301315,2866.442877,3014.262806,5004.099279,4592.557009,9963,1668.844221,19926,-4827136,273920,-4553216,1
9441,523,22,8,0.0524889603,0.94751104,2872.504151,2859.920451,5020.413092,4298.107075,9964,1025.102881,19928,-4833792,267776,-4566016,1
9406,556,22,8,0.0558120859,0.944187914,2862.460262,3078.116374,4998.587285,4692.429856,9962,1053.065539,19924,-4815872,284672,-4531200,1
9447,515,22,8,0.0516964465,0.948303554,2871.466364,2882.731164,5015.695776,4354.223301,9962,1303.926702,19924,-4836864,263680,-4573184,1
9418,549,24,6,0.0550817698,0.94491823,2866.513747,2983.704815,5021.215439,4345.575592,9967,183.7912595,19934,-4822016,281088,-4540928,1
5253,303,22,8,0.0545356371,0.945464363,1602.491193,1552.884451,2805.869027,2304.013201,5556,85.09725839,11112,-2689536,155136,-2534400,1
1629,176,22,8,0.0975069252,0.902493075,512.0555048,549.8160319,878.8649478,1126.386364,1805,138.8461538,3610,-834048,90112,-743936,1
1672,171,22,8,0.0927835052,0.907216495,521.9715892,568.3062046,897.409689,1162.438596,1843,127.4550484,3686,-856064,87552,-768512,1
1726,176,23,7,0.0925341746,0.907465825,540.2980538,575.9296644,927.0457706,1191.318182,1902,163.6833046,3804,-883712,90112,-793600,1
1665,177,21,9,0.0960912052,0.903908795,523.808551,562.3290593,899.9927928,1123.813559,1842,115.6308851,3684,-852480,90624,-761856,1
1705,185,22,8,0.0978835979,0.902116402,537.6936203,569.7360359,922.0058651,1162.027027,1890,116.8108776,3780,-872960,94720,-778240,1
1767,181,23,7,0.0929158111,0.907084189,553.1620054,598.2494395,950.9518959,1204.38674,1948,118.9255189,3896,-904704,92672,-812032,1
1629,181,23,7,0.1,0.9,512.2732224,551.4590834,878.7998772,1145.801105,1810,137.3292868,3620,-834048,92672,-741376,1
1613,182,22,8,0.101392758,0.898607242,507.8347887,548.0997186,871.3490391,1134.197802,1795,151.7328825,3590,-825856,93184,-732672,1
1660,189,23,7,0.102217415,0.897782585,524.369549,555.4770293,897.789759,1163.989418,1849,32.24062772,3698,-849920,96768,-753152,1
1662,175,22,8,0.0952640174,0.904735983,521.7217533,559.3208355,895.7172082,1140.12,1837,112.1489621,3674,-850944,89600,-761344,1
1592,171,23,7,0.0969937606,0.903006239,500.4406136,540.720359,860.0012563,1086.807018,1763,105.5688623,3526,-815104,87552,-727552,1
1639,180,22,8,0.09895547,0.90104453,517.1306028,549.3502574,886.7888957,1121.35,1819,136.8698269,3638,-839168,92160,-747008,1
1742,185,22,8,0.0960041515,0.903995848,547.7029751,586.6907258,940.456372,1185.691892,1927,170.6820195,3854,-891904,94720,-797184,1
1607,175,22,8,0.0982042649,0.901795735,505.7893224,544.0796288,868.5034225,1102.674286,1782,129.2240754,3564,-822784,89600,-733184,1
1654,181,22,8,0.0986376022,0.901362398,520.4855512,555.0127219,892.3035067,1152.81768,1835,148.4627832,3670,-846848,92672,-754176,1
1636,180,21,9,0.0991189427,0.900881057,515.1572491,559.0105186,885.6026895,1116.611111,1816,104.3678161,3632,-837632,92160,-745472,1
1630,176,23,7,0.0974529347,0.902547065,514.0761506,542.3790683,881.1779141,1110.232955,1806,111.0018439,3612,-834560,90112,-744448,1
1646,175,21,9,0.0961010434,0.903898957,512.6427628,583.0442641,885.4896719,1150.942857,1821,98.91363389,3642,-842752,89600,-753152,1
1663,186,21,9,0.100594916,0.899405084,525.6455221,558.5713822,901.3385448,1136.553763,1849,97.83068783,3698,-851456,95232,-756224,1
1168,67,22,8,0.0542510121,0.945748988,348.2411662,475.6176784,620.8030822,569.1343284,1235,19.07041384,2470,-598016,34304,-563712,1
9374,584,22,8,0.0586463145,0.941353685,2876.692327,2820.413852,5000.270749,4646.101027,9958,1398.595506,19916,-4799488,299008,-4500480,1
9289,661,22,8,0.0664321608,0.933567839,2877.979376,2765.488833,5001.659274,4607.885023,9950,882.0921986,19900,-4755968,338432,-4417536,1
9398,555,21,9,0.0557620818,0.944237918,2863.681663,2994.981389,5003.192275,4533.477477,9953,1014.576962,19906,-4811776,284160,-4527616,1
9318,633,21,9,0.0636116973,0.936388303,2881.306235,2709.777436,5003.2698,4574.578199,9951,1100.774336,19902,-4770816,324096,-4446720,1
9369,584,22,8,0.0586757761,0.941324224,2881.099796,2693.32876,5008.446899,4472.503425,9953,688.3125864,19906,-4796928,299008,-4497920,1
9358,595,22,8,0.0597809706,0.940219029,2873.362374,2861.451364,4990.939731,4757.759664,9953,814.4844517,19906,-4791296,304640,-4486656,1
9315,634,23,7,0.0637249975,0.936275003,2872.777641,2826.023778,5004.374557,4543.416404,9949,831.8561873,19898,-4769280,324608,-4444672,1
9284,664,22,8,0.0667470848,0.933252915,2884.43513,2605.706901,5020.094248,4337.004518,9948,868.8209607,19896,-4753408,339968,-4413440,1
3825,411,22,8,0.0970254958,0.902974504,1223.976213,1201.839132,2134.560261,1969.034063,4236,76.09125202,8472,-1958400,210432,-1747968,1
9310,638,22,8,0.0641334942,0.935866506,2864.057845,2965.202167,4995.198281,4672.460815,9948,895.409541,19896,-4766720,326656,-4440064,1
9299,646,22,8,0.064957265,0.935042735,2875.621713,2784.376519,4993.862888,4672.684211,9945,578.87078,19890,-4761088,330752,-4430336,1
9265,683,22,8,0.0686570165,0.931342984,2878.140356,2727.647454,5013.959093,4439.231332,9948,1135.616438,19896,-4743680,349696,-4393984,1
9332,614,23,7,0.0617333601,0.93826664,2866.963989,2932.382049,4980.155379,4872.346906,9946,612.0615385,19892,-4777984,314368,-4463616,1
